"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2835-P",9,2041.97531218454,"JHKVC","Los Angeles","New York","Mexico","National Pumpkin Festival","1435 S","1251 D",479,1995,7,"Jack Be Little",926.224421335276,"heavy"
"2128-P",51,1884.09513313416,"VJPMH","New York","California","USA","Regional Pumpkin Festival","1875 S","1346 U",450,1745,4,"Atlantic Giant",854.611176743791,"heavy"
"2929-P",96,1877.84416453261,"SCZEU","New York","California","UK","Regional Pumpkin Festival","1291 G","1864 W",439,1670,13,"Cinderella",851.775785081016,"heavy"
"2470-P",38,1796.26016971096,"ARULD","Paris","New York","USA","Local Pumpkin Festival","1089 K","1029 R",428,1623,15,"Atlantic Giant",814.769907515798,"heavy"
"2269-P",72,1785.47616584133,"XPPHL","Paris","Florida","Mexico","Local Pumpkin Festival","1406 V","1260 T",432,1647,5,"Jack Be Little",809.878365642484,"heavy"
"2977-P",86,1779.48976438772,"BFAPM","Chicago","California","USA","National Pumpkin Festival","1469 U","1137 L",420,1540,19,"Cinderella",807.162979619367,"heavy"
"2992-P",53,1738.30357965641,"NLMNA","Los Angeles","California","UK","Local Pumpkin Festival","1126 M","1420 H",421,1523,16,"Jack Be Little",788.481240475834,"heavy"
"2949-P",27,1681.02914369386,"PJLBE","Chicago","Texas","USA","Regional Pumpkin Festival","1568 J","1380 Y",422,1566,11,"Cinderella",762.501993327167,"heavy"
"2840-P",69,1658.57865685783,"MNMMK","Nottingham","Texas","USA","National Pumpkin Festival","1473 H","1064 O",421,1540,4,"Howden",752.318623795561,"heavy"
"2104-P",12,1585.60192160029,"SCNZH","Nottingham","Florida","Mexico","National Pumpkin Festival","1205 B","1944 X",407,1440,8,"Jack Be Little",719.21693349523,"heavy"
"2873-P",34,1554.65919819102,"KLUHS","Paris","Texas","Mexico","National Pumpkin Festival","1471 H","1463 D",417,1479,4,"Jack Be Little",705.181550249763,"heavy"
"2974-P",38,1536.94504505303,"IVQNU","Nottingham","New York","Mexico","National Pumpkin Festival","1947 Z","1597 Z",417,1486,2,"Jack Be Little",697.14654554536,"heavy"
"2553-P",26,1529.31430907361,"YPFSM","Houston","Florida","Mexico","Local Pumpkin Festival","1742 V","1964 D",416,1522,3,"Atlantic Giant",693.685301927612,"heavy"
"2421-P",23,1514.28305848408,"QCKJD","Chicago","Florida","Mexico","Local Pumpkin Festival","1249 D","1614 Z",420,1510,-5,"Howden",686.867241348645,"heavy"
"2888-P",7,1498.27061127312,"GHDRK","Houston","Texas","USA","Regional Pumpkin Festival","1687 D","1027 X",389,1274,14,"Atlantic Giant",679.604117468725,"heavy"
"2342-P",61,1491.95636589173,"BWVBD","Los Angeles","California","Mexico","Regional Pumpkin Festival","1019 D","1712 J",403,1421,4,"Cinderella",676.740023941418,"heavy"
"2581-P",33,1480.3460782757,"MVVUR","Los Angeles","Florida","Mexico","Local Pumpkin Festival","1067 V","1528 W",421,1538,-4,"Cinderella",671.473686065282,"heavy"
"2120-P",100,1478.15074004792,"HYFQC","Los Angeles","Florida","Mexico","Regional Pumpkin Festival","1930 N","1495 B",418,1502,-6,"Cinderella",670.477897395589,"heavy"
